"measure_id","measure_name","location_id","location_name","FIPS","cause_id","cause_name","sex_id","sex","age_id","age_name","year_id","metric","mx","lower","upper"
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1980,"Rate",1.86051173675481,1.49957268858497,2.36729611132051
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1981,"Rate",2.00018211345042,1.62960642362075,2.47233853621826
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1982,"Rate",2.14312544320909,1.75270363432131,2.71677600719482
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1983,"Rate",1.73532204994491,1.42244439353629,2.15228068795547
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1984,"Rate",1.74965664909727,1.42589077585662,2.17799861150501
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1985,"Rate",2.02511185411685,1.68887143565776,2.48481075179305
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1986,"Rate",1.83180740021552,1.50927717037954,2.22747244843569
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1987,"Rate",2.15147594277375,1.8044912899851,2.64938240239812
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1988,"Rate",1.88023916625642,1.5807903918659,2.26269786658291
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1989,"Rate",1.93027945923247,1.64415806182239,2.30001662470392
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1990,"Rate",1.8259238720794,1.55048320499869,2.1606234751903
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1991,"Rate",2.16170104456908,1.83610659970406,2.55289301228627
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1992,"Rate",1.71440440592942,1.46772038990085,2.04629245171125
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1993,"Rate",2.0638708176484,1.76355324213003,2.41531221298348
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1994,"Rate",2.22015432424558,1.83694265603117,2.66340052132125
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1995,"Rate",2.20062336044109,1.81980338564837,2.60959689156389
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1996,"Rate",2.30675383341951,1.94298643086147,2.76131774934858
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1997,"Rate",1.92732245701197,1.61797726877351,2.26951705476402
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1998,"Rate",1.88652523887773,1.56426888348795,2.28749943177132
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1999,"Rate",1.89858235735731,1.55231519223324,2.2760782182564
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2000,"Rate",1.83372880374379,1.52008323165232,2.21242913143225
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2001,"Rate",1.81970502945773,1.48097911234841,2.20559681694775
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2002,"Rate",2.11375138171013,1.72639092416658,2.54483695589402
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2003,"Rate",2.07384748647277,1.6864390695044,2.56322847879609
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2004,"Rate",2.52563420388684,1.98243055696358,3.1512405775138
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2005,"Rate",2.3605384119565,1.87174557373637,2.894729480706
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2006,"Rate",2.1918288779984,1.75307531439162,2.68718103095905
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2007,"Rate",2.26377121180109,1.77913076793662,2.80750849860221
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2008,"Rate",2.29678359401538,1.80456656413005,2.82580389773785
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2009,"Rate",2.46534408854027,1.9126329349071,3.0852974178289
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2010,"Rate",2.6415554487676,2.11045202299316,3.26176313151753
1,"Deaths",534,"Hawaii",15,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2011,"Rate",2.22565158535634,1.7524198721475,2.75601864927417
