"measure_id","measure_name","location_id","location_name","FIPS","cause_id","cause_name","sex_id","sex","age_id","age_name","year_id","metric","mx","lower","upper"
1,"Deaths",568,"Vermont",50,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1980,"Rate",4.0763810968888,3.50308696137466,4.79856593694292
1,"Deaths",568,"Vermont",50,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1981,"Rate",4.09204238212835,3.53016451618091,4.84209873288947
1,"Deaths",568,"Vermont",50,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1982,"Rate",3.95586380422685,3.4359131425964,4.64454444771766
1,"Deaths",568,"Vermont",50,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1983,"Rate",3.96165963112582,3.44046062103573,4.58879472604941
1,"Deaths",568,"Vermont",50,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1984,"Rate",3.90932018876025,3.43048294916184,4.55200624776046
1,"Deaths",568,"Vermont",50,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1985,"Rate",3.91026662895537,3.42440862463542,4.50916562364959
1,"Deaths",568,"Vermont",50,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1986,"Rate",3.91222135127157,3.45664034464512,4.51163658989258
1,"Deaths",568,"Vermont",50,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1987,"Rate",4.11037704002879,3.66634298574464,4.72744702994336
1,"Deaths",568,"Vermont",50,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1988,"Rate",4.29477900859424,3.83286227962755,4.83970440714289
1,"Deaths",568,"Vermont",50,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1989,"Rate",4.39884245834139,3.94218889218503,4.97990568026627
1,"Deaths",568,"Vermont",50,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1990,"Rate",4.4495229861052,4.00518920615574,4.94988898146619
1,"Deaths",568,"Vermont",50,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1991,"Rate",4.3917308200728,3.96302297646748,4.91521038233395
1,"Deaths",568,"Vermont",50,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1992,"Rate",4.27049239700466,3.84821644014402,4.77929228972055
1,"Deaths",568,"Vermont",50,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1993,"Rate",4.541733764155,4.11385605868251,5.00659905247027
1,"Deaths",568,"Vermont",50,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1994,"Rate",4.76186289082816,4.31809964909712,5.27264708998479
1,"Deaths",568,"Vermont",50,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1995,"Rate",4.82999144708132,4.37825053254082,5.3526386373678
